"ExperimentalGroup","Treatment","IsolationDate","PairingDate","EvictionDate","EvictionStatus_Group","BreederCount","CoBreeding","Earliest_FirstDCParturitionDate","Latest_FirstDCParturitionDate","EvictionPairingDayDiff","EvictionCategory"
"DarlingBrew","Sub",2022-01-18,2022-02-15,2022-03-08,"Eviction",1,1,2022-07-02,NA,21,"Early"
"Licher","Queen",2022-01-18,2022-02-15,2022-04-28,"Eviction",2,1,2022-06-10,2022-07-31,72,"Late"
"Trolls","Sub",2022-01-18,2022-02-15,2022-02-16,"Eviction",1,1,2022-05-23,NA,1,"Early"
"Tusker","Queen",2022-01-18,2022-02-15,NA,"NoEviction",2,2,2022-05-14,2022-05-23,NA,"Early"
"BlackLabel","Queen",2022-03-31,2022-04-28,2022-09-27,"Eviction",2,1,2022-10-20,2022-12-26,152,"Late"
"BlueMoon","Sub",2022-03-31,2022-04-28,2022-05-01,"Eviction",1,1,2022-08-04,NA,3,"Early"
"Chouffe","Queen",2022-03-31,2022-04-28,2022-04-29,"Eviction",1,1,2022-09-16,NA,1,"Early"
"Delirium","Sub",2022-03-31,2022-04-28,2022-04-29,"Eviction",1,1,2022-08-06,NA,1,"Early"
"Corbeau","Queen",2022-05-06,2022-06-03,2023-01-16,"Eviction",2,2,2022-09-09,2023-05-25,227,"Late"
"Firestone","Sub",2022-05-06,2022-06-03,2022-06-07,"Eviction",0,0,Inf,-Inf,4,"Early"
"Guinness","Queen",2022-05-06,2022-06-03,2022-10-14,"Eviction",2,2,2022-10-02,2023-05-09,133,"Late"
"Hoodoo","Sub",2022-05-06,2022-06-03,2022-06-08,"Eviction",1,1,2022-09-07,NA,5,"Early"
"Angol","Queen",2022-07-18,2022-08-15,2022-08-16,"Eviction",1,1,2022-11-24,NA,1,"Early"
"DevilsPeak","Sub",2022-07-18,2022-08-15,NA,"NoEviction",2,2,2022-12-11,2023-10-30,NA,"Early"
"DjuDju","Sub",2022-07-18,2022-08-15,2022-08-16,"Eviction",1,1,2022-11-23,NA,1,"Early"
"Stella","Queen",2022-07-18,2022-08-15,2022-08-16,"Eviction",1,1,2022-11-17,NA,1,"Early"
"Bitburger","Queen",2023-02-03,2023-03-02,2023-03-04,"Eviction",2,1,2023-07-14,2023-09-03,2,"Early"
"Corona","Queen",2023-02-03,2023-03-02,2023-03-03,"Eviction",1,1,2023-06-12,NA,1,"Early"
"GhostShip","Sub",2023-02-03,2023-03-02,2023-03-10,"Eviction",1,1,2023-06-05,NA,8,"Early"
"Kasteel","Sub",2023-02-03,2023-03-02,2023-03-08,"Eviction",1,1,2023-06-12,NA,6,"Early"
"WicklowWolf","Queen",2023-02-03,2023-03-02,2023-09-28,"Eviction",1,1,2023-06-04,NA,210,"Late"
"Asahi","Sub",2023-04-07,2023-05-10,2023-05-10,"Eviction",1,1,2023-08-16,NA,0,"Early"
"Featherstone","Sub",2023-04-07,2023-05-10,2023-05-14,"Eviction",1,1,2023-08-15,NA,4,"Early"
"Leffe","Queen",2023-04-07,2023-05-10,2023-08-12,"Eviction",2,2,2023-08-09,2023-11-15,94,"Late"
"Lion","Sub",2023-04-07,2023-05-10,NA,"NoEviction",2,2,2023-08-14,2023-11-07,NA,"Early"
