"ExperimentalGroup","Treatment","EvictionStatus_Group","BreederCount","CoBreeding","IsolationDate","PairingDate","EvictionDate","EvictionPairingDayDiff","EvictionCategory","EvictorID","EvicteeID","Evictor_BSOriginal","Evictee_BSOriginal","Evictor_ConceptionPairingDayDiff","Evictee_ConceptionPairingDayDiff","Evictor_ConceptionEvictionDayDiff","Evictee_ConceptionEvictionDayDiff","Evictor_ParturitionEvictionDayDiff","Evictee_ParturitionEvictionDayDiff","Evictor_GestationStatus","Evictee_GestationStatus"
"Trolls","Sub","Eviction",1,1,2022-01-18,2022-02-15,2022-02-16,1,"Early","CUF031","CUF012","Helper","Helper",9,NA,8,NA,96,NA,"Conception","NotPregnant"
"Delirium","Sub","Eviction",1,1,2022-03-31,2022-04-28,2022-04-29,1,"Early","PPF007","PPF009","Helper","Helper",12,NA,11,NA,99,NA,"Conception","NotPregnant"
"DjuDju","Sub","Eviction",1,1,2022-07-18,2022-08-15,2022-08-16,1,"Early","MIF016","MIF012","Helper","Helper",12,NA,11,NA,99,NA,"Conception","NotPregnant"
"BlueMoon","Sub","Eviction",1,1,2022-03-31,2022-04-28,2022-05-01,3,"Early","WAF041","WAF045","Helper","Helper",10,NA,7,NA,95,NA,"Conception","NotPregnant"
"Firestone","Sub","Eviction",0,0,2022-05-06,2022-06-03,2022-06-07,4,"Early","SOF006","SOF002","Helper","Helper",NA,NA,NA,NA,NA,NA,"NotPregnant","NotPregnant"
"Hoodoo","Sub","Eviction",1,1,2022-05-06,2022-06-03,2022-06-08,5,"Early","GOF035","GOF040","Helper","Helper",8,NA,3,NA,91,NA,"Conception","NotPregnant"
"Kasteel","Sub","Eviction",0,0,2023-02-03,2023-03-02,2023-03-08,6,"Early","ORF005","ORF018","Helper","Helper",NA,NA,NA,NA,NA,NA,"NotPregnant","NotPregnant"
"GhostShip","Sub","Eviction",0,0,2023-02-03,2023-03-02,2023-03-10,8,"Early","MBF003","MBF006","Helper","Helper",NA,NA,NA,NA,NA,NA,"NotPregnant","NotPregnant"
"DarlingBrew","Sub","Eviction",1,1,2022-01-18,2022-02-15,2022-03-08,21,"Early","RRF006","RRF010","Helper","Helper",49,NA,28,NA,116,NA,"PreFirstConception","NotPregnant"
"DevilsPeak","Sub","NoEviction",1,1,2022-07-18,2022-08-15,NA,NA,"Early","DVF048","DVF061","Helper","Helper",30,NA,NA,NA,NA,NA,NA,NA
"Chouffe","Queen","Eviction",1,1,2022-03-31,2022-04-28,2022-04-29,1,"Early","PPF008","WEF005","Helper","Breeder",53,NA,52,NA,140,NA,"PreFirstConception","NotPregnant"
"Angol","Queen","Eviction",1,1,2022-07-18,2022-08-15,2022-08-16,1,"Early","WAF002","DVF047","Breeder","Helper",13,NA,12,NA,100,NA,"Conception","NotPregnant"
"Stella","Queen","Eviction",1,1,2022-07-18,2022-08-15,2022-08-16,1,"Early","TSF048","MIF008","Breeder","Helper",6,NA,5,NA,93,NA,"Conception","NotPregnant"
"Corona","Queen","Eviction",0,0,2023-02-03,2023-03-02,2023-03-03,1,"Early","ABF002","GOF025","Helper","Breeder",NA,NA,NA,NA,NA,NA,"NotPregnant","NotPregnant"
"Bitburger","Queen","Eviction",0,0,2023-02-03,2023-03-02,2023-03-04,2,"Early","MBF004","DRF004","Helper","Breeder",NA,NA,NA,NA,NA,NA,"NotPregnant","NotPregnant"
"Licher","Queen","Eviction",2,1,2022-01-18,2022-02-15,2022-04-28,72,"Late","RRF004","VGF001","Helper","Breeder",78,27,6,-45,94,43,"Conception","SecondTrimester"
"Guinness","Queen","Eviction",1,1,2022-05-06,2022-06-03,2022-10-14,133,"Late","RSF008","DRF015","Helper","Breeder",NA,33,NA,-100,NA,-12,"NotPregnant","NotPregnant"
"BlackLabel","Queen","Eviction",2,1,2022-03-31,2022-04-28,2022-09-27,152,"Late","TMF002","Z3F043","Helper","Breeder",154,87,2,-65,90,23,"Conception","ThirdTrimester"
"Corbeau","Queen","Eviction",1,1,2022-05-06,2022-06-03,2023-01-16,227,"Late","SOF001","ARF028","Helper","Breeder",NA,10,NA,-217,NA,-129,"NotPregnant","NotPregnant"
"Tusker","Queen","NoEviction",2,2,2022-01-18,2022-02-15,NA,NA,"Early","COF014","KBF006","Breeder","Helper",0,9,NA,NA,NA,NA,NA,NA
"WicklowWolf","Queen","NoEviction",0,0,2023-02-03,2023-03-02,NA,NA,"Early","VGF002","ORF017","Breeder","Helper",NA,NA,NA,NA,NA,NA,NA,NA
