"Sampling_Cat","ExperimentalGroup","AnimalID","Treatment","Sex","BS_Original","EvictionDate","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","NextLitter_IndCount","NextParturition_ParturitionDayDiff","GestationStatus_Trimester","UrineDate","UrineNumber"
"Rapid_Conc","Trolls","CUF012","Sub",FALSE,"Helper","2022-02-16",29,1,0,NA,NA,"NotPregnant","2022-02-16",31302
"Rapid_Conc","Trolls","CUF031","Sub",FALSE,"Helper","2022-02-16",29,1,0,1,-96,"Conception","2022-02-16",31299
"Rapid_Conc","BlueMoon","WAF041","Sub",FALSE,"Helper","2022-05-01",31,3,0,1,-95,"Conception","2022-05-01",32265
"Rapid_Conc","BlueMoon","WAF045","Sub",FALSE,"Helper","2022-05-01",31,3,0,NA,NA,"NotPregnant","2022-05-01",32266
"Rapid_PreFirst","Chouffe","WEF005","Queen",FALSE,"Breeder","2022-04-29",29,1,0,NA,NA,"NotPregnant","2022-04-29",32220
"Rapid_PreFirst","Chouffe","PPF008","Queen",FALSE,"Helper","2022-04-29",29,1,0,1,-140,"PreFirstConception","2022-04-29",32228
"Rapid_Conc","Delirium","PPF007","Sub",FALSE,"Helper","2022-04-29",29,1,0,1,-99,"Conception","2022-04-29",32226
"Rapid_Conc","Delirium","PPF009","Sub",FALSE,"Helper","2022-04-29",29,1,0,NA,NA,"NotPregnant","2022-04-29",32225
"Rapid_Conc","Hoodoo","GOF035","Sub",FALSE,"Helper","2022-06-08",33,5,0,1,-91,"Conception","2022-06-08",32761
"Rapid_Conc","Hoodoo","GOF040","Sub",FALSE,"Helper","2022-06-08",33,5,0,NA,NA,"NotPregnant","2022-06-08",32772
"Rapid_Conc","Angol","WAF002","Queen",FALSE,"Breeder","2022-08-16",29,1,0,20,-100,"Conception","2022-08-16",33759
"Rapid_Conc","Angol","DVF047","Queen",FALSE,"Helper","2022-08-16",29,1,0,NA,NA,"NotPregnant","2022-08-16",33760
"Rapid_Conc","DjuDju","MIF012","Sub",FALSE,"Helper","2022-08-16",29,1,0,NA,NA,"NotPregnant","2022-08-16",33761
"Rapid_Conc","DjuDju","MIF016","Sub",FALSE,"Helper","2022-08-16",29,1,0,1,-99,"Conception","2022-08-16",33763
"Rapid_Conc","Stella","TSF048","Queen",FALSE,"Breeder","2022-08-16",29,1,0,9,-93,"Conception","2022-08-16",33764
"Rapid_Conc","Stella","MIF008","Queen",FALSE,"Helper","2022-08-16",29,1,0,NA,NA,"NotPregnant","2022-08-16",33765
"Rapid_Conc","Corona","GOF025","Queen",FALSE,"Breeder","2023-03-03",28,1,0,NA,NA,"NotPregnant","2023-03-03",36477
"Rapid_Conc","Corona","ABF002","Queen",FALSE,"Helper","2023-03-03",28,1,0,1,-101,"PreFirstConception","2023-03-03",36467
"Slow_None","WicklowWolf","VGF002","Queen",FALSE,"Breeder","2023-09-28",237,210,0,NA,NA,"NotPregnant","2023-09-28",39108
"Slow_None","WicklowWolf","ORF017","Queen",FALSE,"Helper","2023-09-28",237,210,0,NA,NA,"NotPregnant","2023-09-28",39112
