"AnimalID","UrineDate","Eppendorfs","Date","BoxID","BoxPosition","SampleID","Comments"
"WAF041",2022-04-29,1,2024-01-24,79,42,32230,""
"WAF041",2022-04-29,1,2024-01-24,79,78,32230,""
"RRF004",2022-04-30,1,2024-01-24,79,54,32251,""
"RRF004",2022-04-30,1,2024-01-24,79,72,32251,""
"ARF028",2022-06-12,1,2024-01-24,82,65,32815,""
"ARF028",2022-06-12,1,2024-01-24,83,5,32815,""
"GOF035",2022-06-24,1,2024-01-24,83,30,32983,""
"GOF035",2022-06-24,1,2024-01-24,83,54,32983,""
"MIF016",2022-07-27,1,2024-01-24,85,52,33483,""
"MIF016",2022-07-27,1,2024-01-24,85,70,33483,""
"RSF008",2022-07-28,1,2024-01-24,85,46,33491,""
"RSF008",2022-07-28,1,2024-01-24,85,71,33491,""
"ARF028",2022-08-13,1,2024-01-24,86,68,33725,"33727?"
"ARF028",2022-08-13,1,2024-01-24,86,75,33725,""
"MIF016",2022-09-17,1,2024-01-24,88,17,34222,""
"MIF016",2022-09-17,1,2024-01-24,88,58,34222,""
"ABF002",2023-02-05,1,2024-01-24,92,59,36095,""
"ABF002",2023-02-05,1,2024-01-24,93,7,36095,""
"ABF002",2023-02-07,1,2024-01-24,92,24,36122,""
"ABF002",2023-02-07,1,2024-01-24,93,2,36122,""
"PPF007",2023-02-15,1,2024-01-24,93,65,36251,""
"PPF007",2023-02-15,1,2024-01-24,95,77,36251,""
"MBF003",2023-04-26,1,2024-01-24,96,12,37251,"36251"
"MBF003",2023-04-26,1,2024-01-24,96,15,37251,""
"SOF001",2023-05-22,1,2024-01-24,98,81,37597,""
"SOF001",2023-05-22,1,2024-01-24,99,1,37597,""
