ExperimentalUnit,ExperimentalGroup,Treatment,AnimalID,BS_Original,UrineNumber,NewBox,NewPosition
3,BlueMoon,Sub,WAF041,Helper,32075,1,6
3,BlueMoon,Sub,WAF041,Helper,32159,1,14
3,BlueMoon,Sub,WAF041,Helper,32185,1,16
3,BlueMoon,Sub,WAF045,Helper,32076,1,8
3,BlueMoon,Sub,WAF045,Helper,32156,1,13
3,BlueMoon,Sub,WAF045,Helper,32183,1,26
6,BlackLabel,Queen,TMF002,Helper,32065,1,7
6,BlackLabel,Queen,TMF002,Helper,32158,1,23
6,BlackLabel,Queen,TMF002,Helper,32178,1,17
6,BlackLabel,Queen,Z3F043,Breeder,32066,1,10
6,BlackLabel,Queen,Z3F043,Breeder,32151,1,25
6,BlackLabel,Queen,Z3F043,Breeder,32179,1,21
7,Chouffe,Queen,PPF008,Helper,32070,1,9
7,Chouffe,Queen,PPF008,Helper,32150,1,18
7,Chouffe,Queen,PPF008,Helper,32184,1,24
7,Chouffe,Queen,WEF005,Breeder,32067,1,4
7,Chouffe,Queen,WEF005,Breeder,32154,1,20
7,Chouffe,Queen,WEF005,Breeder,32180,1,12
8,Delirium,Sub,PPF007,Helper,32074,1,3
8,Delirium,Sub,PPF007,Helper,32149,1,22
8,Delirium,Sub,PPF007,Helper,32190,1,11
8,Delirium,Sub,PPF009,Helper,32068,1,5
8,Delirium,Sub,PPF009,Helper,32161,1,19
8,Delirium,Sub,PPF009,Helper,32186,1,15
9,Corbeau,Queen,SOF001,Helper,32521,1,42
9,Corbeau,Queen,SOF001,Helper,32670,1,39
9,Corbeau,Queen,SOF001,Helper,32692,1,47
9,Corbeau,Queen,ARF028,Breeder,32527,1,45
9,Corbeau,Queen,ARF028,Breeder,32672,1,31
9,Corbeau,Queen,ARF028,Breeder,32693,1,36
10,Firestone,Sub,SOF002,Helper,32534,1,32
10,Firestone,Sub,SOF002,Helper,32671,1,33
10,Firestone,Sub,SOF002,Helper,32695,1,50
10,Firestone,Sub,SOF006,Helper,32522,1,48
10,Firestone,Sub,SOF006,Helper,32669,1,38
10,Firestone,Sub,SOF006,Helper,32694,1,35
11,Guinness,Queen,RSF008,Helper,32529,1,30
11,Guinness,Queen,RSF008,Helper,32666,1,37
11,Guinness,Queen,RSF008,Helper,32691,1,28
11,Guinness,Queen,DRF015,Breeder,32524,1,34
11,Guinness,Queen,DRF015,Breeder,32668,1,27
11,Guinness,Queen,DRF015,Breeder,32690,1,29
12,Hoodoo,Sub,GOF035,Helper,32528,1,44
12,Hoodoo,Sub,GOF035,Helper,32667,1,46
12,Hoodoo,Sub,GOF035,Helper,32689,1,43
12,Hoodoo,Sub,GOF040,Helper,32523,1,40
12,Hoodoo,Sub,GOF040,Helper,32674,1,41
12,Hoodoo,Sub,GOF040,Helper,32700,1,49
13,Angol,Queen,DVF047,Helper,33557,1,51
13,Angol,Queen,DVF047,Helper,33706,1,72
13,Angol,Queen,DVF047,Helper,33741,1,69
13,Angol,Queen,WAF002,Breeder,33551,1,53
13,Angol,Queen,WAF002,Breeder,33705,1,66
13,Angol,Queen,WAF002,Breeder,33731,1,65
14,DevilsPeak,Sub,DVF048,Helper,33549,1,57
14,DevilsPeak,Sub,DVF048,Helper,33710,1,60
14,DevilsPeak,Sub,DVF048,Helper,33737,1,64
14,DevilsPeak,Sub,DVF061,Helper,33550,1,56
14,DevilsPeak,Sub,DVF061,Helper,33704,1,59
14,DevilsPeak,Sub,DVF061,Helper,33732,1,63
15,DjuDju,Sub,MIF012,Helper,33556,1,52
15,DjuDju,Sub,MIF012,Helper,33703,1,73
15,DjuDju,Sub,MIF012,Helper,33740,1,68
15,DjuDju,Sub,MIF016,Helper,33555,1,55
15,DjuDju,Sub,MIF016,Helper,33711,1,74
15,DjuDju,Sub,MIF016,Helper,33742,1,62
16,Stella,Queen,MIF008,Helper,33554,1,58
16,Stella,Queen,MIF008,Helper,33713,1,71
16,Stella,Queen,MIF008,Helper,33734,1,61
16,Stella,Queen,TSF048,Breeder,33553,1,54
16,Stella,Queen,TSF048,Breeder,33700,1,70
16,Stella,Queen,TSF048,Breeder,33739,1,67
17,Leffe,Queen,ERF002,Helper,37198,2,27
17,Leffe,Queen,ERF002,Helper,37356,2,37
17,Leffe,Queen,ERF002,Helper,37357,2,39
17,Leffe,Queen,ERF002,Helper,37398,2,33
17,Leffe,Queen,KGF002,Breeder,37199,2,30
17,Leffe,Queen,KGF002,Breeder,37296,2,36
17,Leffe,Queen,KGF002,Breeder,37386,2,42
18,Bitburger,Queen,MBF004,Helper,36301,2,19
18,Bitburger,Queen,MBF004,Helper,36349,1,2
18,Bitburger,Queen,MBF004,Helper,36392,2,18
18,Bitburger,Queen,DRF004,Breeder,36302,2,22
18,Bitburger,Queen,DRF004,Breeder,36348,2,6
18,Bitburger,Queen,DRF004,Breeder,36396,2,13
19,Corona,Queen,ABF002,Helper,36314,2,3
19,Corona,Queen,ABF002,Helper,36350,2,20
19,Corona,Queen,ABF002,Helper,36394,2,23
19,Corona,Queen,GOF025,Breeder,36303,2,21
19,Corona,Queen,GOF025,Breeder,36355,2,5
19,Corona,Queen,GOF025,Breeder,36393,1,78
20,GhostShip,Sub,MBF003,Helper,36304,2,9
20,GhostShip,Sub,MBF003,Helper,36345,2,15
20,GhostShip,Sub,MBF003,Helper,36391,1,76
20,GhostShip,Sub,MBF006,Helper,36309,1,77
20,GhostShip,Sub,MBF006,Helper,36346,2,14
20,GhostShip,Sub,MBF006,Helper,36390,1,80
21,Kasteel,Sub,ORF005,Helper,36315,1,1
21,Kasteel,Sub,ORF005,Helper,36357,2,12
21,Kasteel,Sub,ORF005,Helper,36403,2,7
21,Kasteel,Sub,ORF018,Helper,36310,1,81
21,Kasteel,Sub,ORF018,Helper,36347,2,10
21,Kasteel,Sub,ORF018,Helper,36395,2,4
22,WicklowWolf,Queen,ORF017,Helper,36308,2,17
22,WicklowWolf,Queen,ORF017,Helper,36353,1,75
22,WicklowWolf,Queen,ORF017,Helper,36402,2,16
22,WicklowWolf,Queen,VGF002,Breeder,36311,2,11
22,WicklowWolf,Queen,VGF002,Breeder,36354,1,79
22,WicklowWolf,Queen,VGF002,Breeder,36397,2,8
23,Asahi,Sub,TIF025,Helper,37191,2,24
23,Asahi,Sub,TIF025,Helper,37355,2,45
23,Asahi,Sub,TIF025,Helper,37387,2,32
23,Asahi,Sub,TIF039,Helper,37189,2,28
23,Asahi,Sub,TIF039,Helper,37354,2,41
23,Asahi,Sub,TIF039,Helper,37388,2,38
24,Featherstone,Sub,TIF036,Helper,37190,2,25
24,Featherstone,Sub,TIF036,Helper,37364,2,35
24,Featherstone,Sub,TIF036,Helper,37384,2,40
24,Featherstone,Sub,TIF038,Helper,37203,2,26
24,Featherstone,Sub,TIF038,Helper,37363,2,48
24,Featherstone,Sub,TIF038,Helper,37395,2,46
25,Lion,Sub,BEF006,Helper,37193,2,31
25,Lion,Sub,BEF006,Helper,37365,2,43
25,Lion,Sub,BEF006,Helper,37393,2,44
25,Lion,Sub,BEF036,Helper,37192,2,29
25,Lion,Sub,BEF036,Helper,37366,2,34
25,Lion,Sub,BEF036,Helper,37396,2,47
