"AnimalID","UrineNumber","BoxID","BoxPosition","NewBox","NewPosition"
"PPF007",32074,78,16,1,3
"WEF005",32067,78,35,1,4
"PPF009",32068,78,36,1,5
"WAF041",32075,78,46,1,6
"TMF002",32065,78,50,1,7
"WAF045",32076,78,66,1,8
"PPF008",32070,78,76,1,9
"Z3F043",32066,78,80,1,10
"PPF007",32190,79,14,1,11
"WEF005",32180,79,16,1,12
"WAF045",32156,79,18,1,13
"WAF041",32159,79,23,1,14
"PPF009",32186,79,25,1,15
"WAF041",32185,79,38,1,16
"TMF002",32178,79,44,1,17
"PPF008",32150,79,47,1,18
"PPF009",32161,79,48,1,19
"WEF005",32154,79,50,1,20
"Z3F043",32179,79,57,1,21
"PPF007",32149,79,73,1,22
"TMF002",32158,79,75,1,23
"PPF008",32184,79,77,1,24
"Z3F043",32151,80,4,1,25
"WAF045",32183,80,8,1,26
"DRF015",32668,81,23,1,27
"RSF008",32691,81,25,1,28
"DRF015",32690,81,27,1,29
"RSF008",32529,81,33,1,30
"ARF028",32672,81,36,1,31
"SOF002",32534,81,41,1,32
"SOF002",32671,81,43,1,33
"DRF015",32524,81,48,1,34
"SOF006",32694,81,50,1,35
"ARF028",32693,81,54,1,36
"RSF008",32666,81,55,1,37
"SOF006",32669,81,56,1,38
"SOF001",32670,81,57,1,39
"GOF040",32523,81,59,1,40
"GOF040",32674,81,60,1,41
"SOF001",32521,81,64,1,42
"GOF035",32689,81,66,1,43
"GOF035",32528,81,68,1,44
"ARF028",32527,81,69,1,45
"GOF035",32667,81,70,1,46
"SOF001",32692,81,80,1,47
"SOF006",32522,82,9,1,48
"GOF040",32700,82,55,1,49
"SOF002",32695,83,3,1,50
"DVF047",33557,85,19,1,51
"MIF012",33556,85,20,1,52
"WAF002",33551,85,29,1,53
"TSF048",33553,85,32,1,54
"MIF016",33555,85,33,1,55
"DVF061",33550,85,43,1,56
"DVF048",33549,85,79,1,57
"MIF008",33554,86,7,1,58
"DVF061",33704,86,16,1,59
"DVF048",33710,86,18,1,60
"MIF008",33734,86,43,1,61
"MIF016",33742,86,44,1,62
"DVF061",33732,86,48,1,63
"DVF048",33737,86,49,1,64
"WAF002",33731,86,54,1,65
"WAF002",33705,86,57,1,66
"TSF048",33739,86,58,1,67
"MIF012",33740,86,66,1,68
"DVF047",33741,86,70,1,69
"TSF048",33700,86,71,1,70
"MIF008",33713,86,72,1,71
"DVF047",33706,86,78,1,72
"MIF012",33703,87,5,1,73
"MIF016",33711,87,6,1,74
"ORF017",36353,93,12,1,75
"MBF003",36391,93,14,1,76
"MBF006",36309,93,15,1,77
"GOF025",36393,93,20,1,78
"VGF002",36354,93,25,1,79
"MBF006",36390,93,32,1,80
"ORF018",36310,93,34,1,81
"ORF005",36315,93,35,1,1
"MBF004",36349,93,36,1,2
"ABF002",36314,93,38,2,3
"ORF018",36395,93,40,2,4
"GOF025",36355,93,41,2,5
"DRF004",36348,93,43,2,6
"ORF005",36403,93,45,2,7
"VGF002",36397,93,48,2,8
"MBF003",36304,93,49,2,9
"ORF018",36347,93,50,2,10
"VGF002",36311,93,55,2,11
"ORF005",36357,93,59,2,12
"DRF004",36396,93,60,2,13
"MBF006",36346,93,61,2,14
"MBF003",36345,93,62,2,15
"ORF017",36402,93,69,2,16
"ORF017",36308,93,73,2,17
"MBF004",36392,93,74,2,18
"MBF004",36301,93,77,2,19
"ABF002",36350,93,81,2,20
"GOF025",36303,94,5,2,21
"DRF004",36302,94,7,2,22
"ABF002",36394,94,9,2,23
"TIF025",37191,96,13,2,24
"TIF036",37190,96,14,2,25
"TIF038",37203,96,42,2,26
"ERF002",37198,96,67,2,27
"TIF039",37189,96,68,2,28
"BEF036",37192,96,69,2,29
"KGF002",37199,97,1,2,30
"BEF006",37193,97,5,2,31
"TIF025",37387,97,12,2,32
"ERF002",37398,97,19,2,33
"BEF036",37366,97,29,2,34
"TIF036",37364,97,32,2,35
"KGF002",37296,97,33,2,36
"ERF002",37356,97,37,2,37
"TIF039",37388,97,41,2,38
"ERF002",37357,97,45,2,39
"TIF036",37384,97,49,2,40
"TIF039",37354,97,50,2,41
"KGF002",37386,97,58,2,42
"BEF006",37365,97,66,2,43
"BEF006",37393,97,71,2,44
"TIF025",37355,97,72,2,45
"TIF038",37395,97,74,2,46
"BEF036",37396,97,80,2,47
"TIF038",37363,98,6,2,48
