Colony N,Colony name,Pairing date,BF,NBF1,NBF2,NatalColony,King,KingRemovalDate
1,Tusker,15/02/2022,COF014,KOF006,NA,Kori,ARM003,13/12/2021
2,Licher,15/02/2022,VGF001,RRF004,NA,RuRu,DVM009,23/12/2021
3,DarlingBrew,15/02/2022,NA,RRF006,RRF010,RuRu,DVM009,23/12/2021
4,Trolls,15/02/2022,NA,CUF012,CUF031,Curie,F9M003,NA
5,Black Label,28/04/2022,Z3F043,TMF002,NA,The Maags,COM009,13/01/2022
6,Chouffe,28/04/2022,WEF005,PPF008,NA,PlakaPlaka,DRM006,20/02/2022
7,Delirium,28/04/2022,NA,PPF007,PPF009,PlakaPlaka,DRM006,20/02/2022
8,Blue Moon,28/04/2022,NA,WAF041,WAF045,Watson,G9M005,NA
9,Guinness,03/06/2022,DRF015,RSF008,NA,Roms,LAM015,03/03/2022
10,Corbeau,03/06/2022,ARF028,SOF001,NA,Shorny,BEM007,03/03/2022
11,Firestone,03/06/2022,NA,SOF002,SOF006,Shorny,BEM007,03/03/2022
12,Hoodoo,03/06/2022,NA,GOF035,GOF040,Goodall,Z2M007,NA
13,Angol,15/08/2022,WAF002,DVF047,NA,DaVinci,FAM003,04/04/2022
14,Devils Peak,15/08/2022,NA,DVF048,DVF061,DaVinci,FAM003,04/04/2022
15,Stella,15/08/2022,TSF048,MIF008,NA,Milou,G10M033,04/04/2022
16,DjuDju,15/08/2022,NA,MIF012,MIF016,Milou,G10M033,04/04/2022
17,BitBurger,02/03/2023,DRF004,MBF004,NA,Marabou,MOM001,16/12/2022
18,WicklowWolf,02/03/2023,VGF002,ORF017,NA,Orycterope,G10M034,16/12/2022
19,Corona,02/03/2023,GOF025,ABF002,NA,Amobo,WEM018,15/12/2022
20,Kasteel,02/03/2023,NA,ORF005,ORF018,Orycterope,G10M034,16/12/2022
21,GhostShip,02/03/2023,NA,MBF003,MBF006,Marabou,MOM001,16/12/2022
22,Leffe,10/05/2023,KGF002,ERF002,NA,Erotics,CUM014,19/01/2023
23,Asahi,10/05/2023,NA,TIF025,TIF039,Tinbergen,F4M001,NA
24,Featherstone,10/05/2023,NA,TIF036,TIF038,Tinbergen,F4M001,NA
25,Lion,10/05/2023,NA,BEF006,BEF036,Bennett,Z1M007,NA
