"OriginalGroup","ExperimentalGroup","Treatment","IsolationDate","OriginalGroup_LastParturitionDate","Delay"
"Bennett","Lion","Sub",2023-04-07,2021-07-15,-631
"Bennett","Lion","Sub",2023-03-06,2021-07-15,-599
"Amobo","Corona","Queen",2023-02-03,2021-06-22,-591
"Amobo","Corona","Queen",2022-12-16,2021-06-22,-542
"Tinbergen","Asahi","Sub",2023-04-07,2022-10-05,-184
"Tinbergen","Featherstone","Sub",2023-04-07,2022-10-05,-184
"Tinbergen","Featherstone","Sub",2023-03-06,2022-10-05,-152
"Goodall","GhostShip","Sub",2023-02-03,2022-09-27,-129
"Goodall","GhostShip","Sub",2023-01-12,2022-09-27,-107
"Tinbergen","Asahi","Sub",2023-01-19,2022-10-05,-106
"Milou","Stella","Queen",2022-07-18,2022-04-16,-93
"Milou","DjuDju","Sub",2022-07-18,2022-04-16,-93
"Milou","Angol","Queen",2022-07-18,2022-04-16,-93
"Milou","DevilsPeak","Sub",2022-07-18,2022-04-16,-93
"DaVinci","DevilsPeak","Sub",2022-07-18,2022-04-27,-82
"DaVinci","Angol","Queen",2022-07-18,2022-04-27,-82
"DaVinci","Stella","Queen",2022-07-18,2022-04-27,-82
"DaVinci","DjuDju","Sub",2022-07-18,2022-04-27,-82
"Erotics","Asahi","Sub",2023-04-07,2023-01-26,-71
"Erotics","Leffe","Queen",2023-04-07,2023-01-26,-71
"The Maags","BlueMoon","Sub",2022-03-31,2022-01-26,-64
"The Maags","BlackLabel","Queen",2022-03-31,2022-01-26,-64
"PlakaPlaka","Corbeau","Queen",2022-05-06,2022-03-05,-62
"PlakaPlaka","Firestone","Sub",2022-05-06,2022-03-05,-62
"Shorny","Corbeau","Queen",2022-05-06,2022-03-06,-61
"Shorny","Firestone","Sub",2022-05-06,2022-03-06,-61
"Shorny","Guinness","Queen",2022-05-06,2022-03-06,-61
"Roms","Guinness","Queen",2022-05-06,2022-03-08,-59
"Roms","Hoodoo","Sub",2022-05-06,2022-03-08,-59
"RuRu","DarlingBrew","Sub",2022-02-15,2021-12-23,-54
"Watson","BlueMoon","Sub",2022-03-31,2022-02-08,-51
"The Maags","BlackLabel","Queen",2022-03-14,2022-01-26,-47
"Orycterope","Kasteel","Sub",2023-03-02,2023-01-15,-46
"Erotics","Leffe","Queen",2023-03-06,2023-01-26,-39
"Kori","Licher","Queen",2022-01-18,2021-12-12,-37
"Kori","Tusker","Queen",2022-01-18,2021-12-12,-37
"Marabou","GhostShip","Sub",2023-02-03,2022-12-30,-35
"Marabou","Bitburger","Queen",2023-02-03,2022-12-30,-35
"Marabou","Corona","Queen",2023-02-03,2022-12-30,-35
"PlakaPlaka","Delirium","Sub",2022-03-31,2022-03-05,-26
"PlakaPlaka","Chouffe","Queen",2022-03-31,2022-03-05,-26
"RuRu","Tusker","Queen",2022-01-18,2021-12-23,-26
"RuRu","Licher","Queen",2022-01-18,2021-12-23,-26
"RuRu","DarlingBrew","Sub",2022-01-18,2021-12-23,-26
"Orycterope","WicklowWolf","Queen",2023-02-03,2023-01-15,-19
"Orycterope","Kasteel","Sub",2023-02-03,2023-01-15,-19
"Orycterope","Bitburger","Queen",2023-02-03,2023-01-15,-19
"Curie","Trolls","Sub",2022-02-15,2022-01-31,-15
"Marabou","GhostShip","Sub",2023-01-12,2022-12-30,-13
"Kori","Tusker","Queen",2021-12-23,2021-12-12,-11
"PlakaPlaka","Chouffe","Queen",2022-03-14,2022-03-05,-9
"PlakaPlaka","Corbeau","Queen",2022-03-14,2022-03-05,-9
"Shorny","Corbeau","Queen",2022-03-14,2022-03-06,-8
"Kori","Licher","Queen",2021-12-13,2021-12-12,-1
