"ExperimentalUnit","Sampling_Cat","ExperimentalGroup","Treatment","BS_Original","AnimalID","Isolation","PostPair10","FirstConc","PostEviction14","PreEviction16","RA","Total"
1,"Slow_Conc","Licher","Queen","Helper","RRF004",3,5,0,0,0,0,8
1,"Slow_Conc","Licher","Queen","Breeder","VGF001",3,5,0,0,0,0,8
2,"NoEviction","Tusker","Queen","Helper","KBF006",3,5,7,0,0,0,15
2,"NoEviction","Tusker","Queen","Breeder","COF014",3,5,8,0,0,0,16
3,"Rapid_Conc","BlueMoon","Sub","Helper","WAF045",0,0,0,1,0,0,1
4,"Rapid_PreFirst","DarlingBrew","Sub","Helper","RRF006",3,5,0,0,4,0,12
4,"Rapid_PreFirst","DarlingBrew","Sub","Helper","RRF010",3,5,0,0,4,0,12
5,"Rapid_Conc","Trolls","Sub","Helper","CUF012",3,1,0,1,1,0,6
5,"Rapid_Conc","Trolls","Sub","Helper","CUF031",3,1,9,1,1,0,15
11,"Slow_PreFirst","Guinness","Queen","Breeder","DRF015",0,0,0,1,0,0,1
14,"NoEviction","DevilsPeak","Sub","Helper","DVF061",0,0,0,0,0,2,2
15,"Rapid_Conc","DjuDju","Sub","Helper","MIF016",0,0,1,1,0,0,2
19,"Rapid_Conc","Corona","Queen","Breeder","GOF025",0,1,0,0,1,0,2
21,"Rapid_Conc","Kasteel","Sub","Helper","ORF005",0,0,1,1,0,0,2
22,"Slow_None","WicklowWolf","Queen","Helper","ORF017",0,0,0,0,0,6,6
24,"Rapid_Conc","Featherstone","Sub","Helper","TIF036",0,0,0,1,0,0,1
24,"Rapid_Conc","Featherstone","Sub","Helper","TIF038",0,0,0,1,0,0,1
