AnimalID,UrineNumber,BoxID,BoxPosition,NewBox,NewPosition
WEF005,31670,76,5,1,1
Z3F043,31669,76,31,1,2
PPF007,31847,77,7,1,3
PPF008,31838,77,25,1,4
WAF041,31845,77,32,1,5
WAF041,31845,77,32,1,
Z3F043,31843,77,46,1,7
TMF002,31728,77,47,1,8
WEF005,31835,77,53,1,9
WAF045,31848,77,61,1,10
WAF045,31848,77,61,1,11
PPF009,31701,77,62,1,12
PPF008,31706,77,72,1,13
PPF009,31837,77,78,1,14
TMF002,31839,77,80,1,15
PPF007,31707,78,7,1,16
DRF015,32143,78,60,1,17
ARF028,32146,79,5,1,18
DRF015,32304,79,27,1,19
ARF028,32309,79,33,1,20
SOF002,32239,79,55,1,21
SOF002,32239,79,55,1,22
GOF035,32246,79,59,1,23
GOF035,32246,79,59,1,24
RSF008,32235,79,60,1,25
RSF008,32235,79,60,1,26
GOF040,32218,79,65,1,27
SOF006,32234,80,6,1,28
SOF006,32234,80,6,1,29
GOF040,32236,80,11,1,30
DVF061,33353,84,12,1,31
WAF002,33346,84,13,1,32
DVF048,33348,84,15,1,33
DVF047,33187,84,16,1,34
TSF048,33350,84,17,1,35
MIF012,33351,84,21,1,36
MIF016,33191,84,26,1,37
TSF048,33145,84,30,1,38
DVF047,33347,84,36,1,39
DVF048,33185,84,43,1,40
MIF008,33184,84,50,1,41
WAF002,33141,84,60,1,42
MIF012,33183,84,63,1,43
MIF008,33345,84,68,1,44
DVF061,33180,84,71,1,45
MIF016,33339,85,7,1,46
ABF002,35909,91,20,1,47
GOF025,35883,91,22,1,48
ORF018,35920,91,25,1,49
ORF018,35829,91,30,1,50
DRF004,35891,91,31,1,51
ORF017,35924,91,39,1,52
ORF017,35924,91,39,1,53
MBF006,35893,91,46,1,54
MBF006,35893,91,46,1,55
VGF002,35890,91,50,1,56
MBF004,35894,91,62,1,57
MBF004,35894,91,62,1,58
ORF005,35931,91,67,1,59
ORF005,35931,91,67,1,60
MBF003,35892,91,68,1,61
MBF003,35892,91,68,1,62
VGF002,36049,92,12,1,63
ABF002,35997,92,25,1,64
GOF025,36059,92,61,1,65
DRF004,36054,93,3,1,66
BEF036,36782,95,12,1,67
TIF036,36750,95,13,1,68
BEF006,36987,95,14,1,69
BEF036,36986,95,15,1,70
KGF002,36981,95,22,1,71
TIF025,36859,95,23,1,72
TIF039,36751,95,40,1,73
ERF002,36771,95,42,1,74
KGF002,36770,95,45,1,75
TIF038,36755,95,53,1,76
TIF039,36983,95,62,1,77
TIF038,36985,95,74,1,78
BEF006,36777,95,75,1,79
ERF002,36984,95,81,1,80
TIF036,36982,96,6,1,81
TIF025,36746,96,9,2,1
