"ExperimentalGroup","Treatment","AnimalID","BS_Original","FirstDCParturitionDate","PairingDate","EvictionStatus","BredFirst","Delay","FemaleType"
"GhostShip","Sub","MBF003","Helper",2023-06-05,2023-03-02,"Evictor","Yes",95,"Sister"
"Hoodoo","Sub","GOF035","Helper",2022-09-07,2022-06-03,"Evictor","Yes",96,"Sister"
"Lion","Sub","BEF006","Helper",2023-08-14,2023-05-10,"InGroup","Yes",96,"Sister"
"Trolls","Sub","CUF031","Helper",2022-05-23,2022-02-15,"Evictor","Yes",97,"Sister"
"Featherstone","Sub","TIF036","Helper",2023-08-15,2023-05-10,"Evictor","Yes",97,"Sister"
"Asahi","Sub","TIF039","Helper",2023-08-16,2023-05-10,"Evictor","Yes",98,"Sister"
"BlueMoon","Sub","WAF041","Helper",2022-08-04,2022-04-28,"Evictor","Yes",98,"Sister"
"Delirium","Sub","PPF007","Helper",2022-08-06,2022-04-28,"Evictor","Yes",100,"Sister"
"DjuDju","Sub","MIF016","Helper",2022-11-23,2022-08-15,"Evictor","Yes",100,"Sister"
"Kasteel","Sub","ORF005","Helper",2023-06-12,2023-03-02,"Evictor","Yes",102,"Sister"
"DevilsPeak","Sub","DVF048","Helper",2022-12-11,2022-08-15,"InGroup","Yes",118,"Sister"
"DarlingBrew","Sub","RRF006","Helper",2022-07-02,2022-02-15,"Evictor","Yes",137,"Sister"
"Firestone","Sub","SOF006","Helper",2022-12-22,2022-06-03,"Evictor","Yes",202,"Sister"
"Tusker","Queen","COF014","Breeder",2022-05-14,2022-02-15,"Evictee","Yes",88,"Breeder"
"Leffe","Queen","KGF002","Breeder",2023-08-09,2023-05-10,"Evictee","Yes",91,"Breeder"
"Stella","Queen","TSF048","Breeder",2022-11-17,2022-08-15,"Evictor","Yes",94,"Breeder"
"WicklowWolf","Queen","VGF002","Breeder",2023-06-04,2023-03-02,"Evictee","Yes",94,"Breeder"
"Corbeau","Queen","ARF028","Breeder",2022-09-09,2022-06-03,"Evictee","Yes",98,"Breeder"
"Angol","Queen","WAF002","Breeder",2022-11-24,2022-08-15,"Evictor","Yes",101,"Breeder"
"Licher","Queen","VGF001","Breeder",2022-06-10,2022-02-15,"Evictee","Yes",115,"Breeder"
"Guinness","Queen","DRF015","Breeder",2022-10-02,2022-06-03,"Evictee","Yes",121,"Breeder"
"BlackLabel","Queen","Z3F043","Breeder",2022-10-20,2022-04-28,"Evictee","Yes",175,"Breeder"
"Corona","Queen","ABF002","Helper",2023-06-12,2023-03-02,"Evictor","Yes",102,"Daughter"
"Bitburger","Queen","MBF004","Helper",2023-07-14,2023-03-02,"Evictor","Yes",134,"Daughter"
"Chouffe","Queen","PPF008","Helper",2022-09-16,2022-04-28,"Evictor","Yes",141,"Daughter"
